epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7415,1.59186,2.76611,1.78626,0.00827,1,0.28941,0.10505,1.31357,2.67462,1.38513,0.0005,0.0005,0.0005
2,74.7577,1.39659,2.65697,1.55368,0.00736,1,0.32081,0.12561,1.50515,2.72216,1.51269,0.00115512,0.00115512,0.00115512
3,88.3523,1.38335,2.52248,1.5578,0.00739,1,0.39897,0.14934,1.52765,2.6999,1.62041,0.00179703,0.00179703,0.00179703
4,100.838,1.48184,2.38695,1.62332,0.00794,0.96296,0.20244,0.08928,1.60938,2.72621,1.83764,0.0019406,0.0019406,0.0019406
5,116.253,1.49093,2.23825,1.66364,0.00759,0.92593,0.19934,0.05714,2.02236,2.85063,2.69021,0.0019208,0.0019208,0.0019208
6,128.53,1.55829,2.2437,1.7585,0.00746,1,0.26405,0.0837,1.92763,2.76186,2.78965,0.001901,0.001901,0.001901
7,139.824,1.63015,2.084,1.80956,0.33411,0.07407,0.24912,0.10031,1.8214,2.61584,2.65565,0.0018812,0.0018812,0.0018812
8,150.762,1.57819,2.01915,1.77149,0.31121,0.2963,0.25666,0.10986,1.71547,2.52158,2.60164,0.0018614,0.0018614,0.0018614
9,159.795,1.48869,1.94723,1.7168,0.16712,0.26769,0.17597,0.06022,2.03576,2.7014,3.23,0.0018416,0.0018416,0.0018416
10,169.723,1.49116,2.15002,1.72808,0.24328,0.14815,0.1356,0.04268,2.07816,2.794,2.60034,0.0018218,0.0018218,0.0018218
11,178.47,1.43948,1.87003,1.67716,0.20866,0.03704,0.0945,0.0431,2.59244,2.85505,2.95813,0.001802,0.001802,0.001802
12,188.171,1.54848,1.88352,1.6937,0.35818,0.03704,0.07936,0.03957,2.92077,2.91709,3.23736,0.0017822,0.0017822,0.0017822
13,197.006,1.42296,1.77567,1.63505,0.2777,0.03704,0.08088,0.03324,3.07066,3.03215,3.54445,0.0017624,0.0017624,0.0017624
14,208.372,1.42356,1.70684,1.64955,0.22754,0.14214,0.11884,0.03422,2.95438,2.93835,3.63093,0.0017426,0.0017426,0.0017426
15,219.919,1.49658,1.78599,1.68023,0.20947,0.11111,0.10489,0.02303,2.88542,2.916,2.91322,0.0017228,0.0017228,0.0017228
16,230.534,1.38374,1.66015,1.60546,0.12814,0.11111,0.06361,0.02168,2.856,2.91244,2.96749,0.001703,0.001703,0.001703
17,242.774,1.44698,1.70784,1.65253,0.07152,0.07407,0.06152,0.0189,2.25548,2.88384,2.34088,0.0016832,0.0016832,0.0016832
18,255.298,1.37077,1.63578,1.6028,0.08245,0.14815,0.08993,0.03514,1.93859,2.73347,1.97319,0.0016634,0.0016634,0.0016634
19,267.643,1.39526,1.5935,1.61212,0.10784,0.22222,0.13861,0.06162,1.6259,2.57314,1.71818,0.0016436,0.0016436,0.0016436
20,279.772,1.37511,1.69035,1.61715,0.107,0.14815,0.08075,0.03184,1.65495,2.85201,1.88127,0.0016238,0.0016238,0.0016238
21,291.891,1.37627,1.66893,1.61996,0.09449,0.22222,0.09822,0.03979,1.65866,2.79752,1.88589,0.001604,0.001604,0.001604
22,303.998,1.2686,1.61256,1.53912,0.16613,0.14815,0.08295,0.03403,1.77369,3.03802,1.89809,0.0015842,0.0015842,0.0015842
23,317.32,1.30597,1.66815,1.52885,0.17802,0.18519,0.11517,0.03914,1.8824,3.21906,1.96258,0.0015644,0.0015644,0.0015644
24,331.218,1.27322,1.58114,1.53231,0.22956,0.37037,0.16345,0.07512,1.56995,2.78888,1.7891,0.0015446,0.0015446,0.0015446
25,343.008,1.25788,1.5226,1.5514,0.27595,0.2963,0.2206,0.11273,1.39208,2.90237,1.6438,0.0015248,0.0015248,0.0015248
26,356.487,1.31626,1.6812,1.58419,0.32002,0.33333,0.22583,0.09722,1.49574,3.23228,1.71876,0.001505,0.001505,0.001505
27,370.442,1.28405,1.62792,1.50805,0.12021,0.44444,0.10523,0.04107,1.59979,4.16234,1.74294,0.0014852,0.0014852,0.0014852
28,381.624,1.25356,1.5543,1.50052,0.10651,0.33333,0.10391,0.0416,1.69692,4.49375,1.81642,0.0014654,0.0014654,0.0014654
